order_id,review_score,review_creation_date,year,payment_type,payment_installments
73fc7af87114b39712e6da79b0a377eb,4,2018-01-18,2018-00-00,credit_card,8
a548910a1c6147796b98fdf73dbeba33,5,2018-03-10,2018-00-00,credit_card,1
f9e4b658b201a9f2ecdecbb34bed034b,5,2018-02-17,2018-00-00,credit_card,1
8e6bfb81e283fa7e4f11123a3fb894f1,5,2018-03-01,2018-00-00,credit_card,10
b18dcdf73be66366873cd26c5724d1dc,1,2018-04-13,2018-00-00,credit_card,1
c31a859e34e3adac22f376954e19b39d,5,2018-08-14,2018-00-00,credit_card,3
b9bf720beb4ab3728760088589c62129,4,2018-05-22,2018-00-00,credit_card,8
9d6f15f95d01e79bd1349cc208361f09,4,2018-02-16,2018-00-00,credit_card,2
2eaf8e099d871cd5c22b83b5ea8f6e0e,4,2018-03-28,2018-00-00,credit_card,1
e51478e7e277a83743b6f9991dbfa3fb,5,2018-05-23,2018-00-00,credit_card,1
0dacf04c5ad59fd5a0cc1faa07c34e39,2,2018-01-18,2018-00-00,credit_card,4
ff1581e08b3011021e7c7de592ddc81e,5,2018-03-24,2018-00-00,credit_card,1
583174fbe37d3d5f0d6661be3aad1786,1,2018-08-15,2018-00-00,credit_card,2
ae168dfba236919411fe08f336fefa44,5,2018-03-17,2018-00-00,credit_card,4
4fc44d78867142c627497b60a7e0228a,5,2018-07-10,2018-00-00,credit_card,2
2ca73e2ff9e3a186ad1e1ffb9b1d9c10,5,2018-03-23,2018-00-00,credit_card,1
68b3cbc68e4cd1fe19bec35f1d3bb7ee,5,2018-03-29,2018-00-00,credit_card,8
cf73e2cb1f4a9480ed70c154da3d954a,5,2018-01-18,2018-00-00,boleto,1
cf73e2cb1f4a9480ed70c154da3d954a,5,2018-01-18,2018-00-00,boleto,1
68e55ca79d04a79f20d4bfc0146f4b66,1,2018-04-08,2018-00-00,credit_card,6
677c865b89aa97e7dbeb4bfbb50bbcfd,5,2018-08-25,2018-00-00,credit_card,9
37e7875cdce5a9e5b3a692971f370151,4,2018-06-07,2018-00-00,credit_card,1
e029f708df3cc108b3264558771605c6,5,2018-06-13,2018-00-00,credit_card,1
af32671d0b8ce510a94d9111d97371d3,5,2018-03-22,2018-00-00,boleto,1
e2e6ee1ed2d7f2f36b05d234983bd7a0,5,2018-08-10,2018-00-00,credit_card,4
aad1dcbe4c9fe2e3486e5e04c6649097,2,2018-05-13,2018-00-00,voucher,1
88096595631e8d26b658306256e3ce34,1,2018-02-08,2018-00-00,credit_card,8
a6456e781cb962cc3f412b04de4fed7b,5,2018-06-13,2018-00-00,credit_card,6
f3a9c397a2fa5a2366b4b96bc15737f6,5,2018-03-11,2018-00-00,credit_card,5
44a9994228432b835c3a4e720b6a41ab,4,2018-03-29,2018-00-00,boleto,1
1a36784e5c696071dad8a242f26b230f,5,2018-01-25,2018-00-00,boleto,1
dfa48852c93427261c98fb2e01f33bea,5,2018-04-24,2018-00-00,boleto,1
548df2c6e5f089574614894bca78acf5,1,2018-01-28,2018-00-00,credit_card,1
14861b02076ed7da9471988265a0104b,5,2018-07-14,2018-00-00,credit_card,4
d8e17cc85323061493b16b68a130bcff,5,2018-06-02,2018-00-00,credit_card,1
84226f5c73669d7711ca44aa9cac602a,3,2018-05-10,2018-00-00,credit_card,2
55101b36a58251926b6cbfdb540c0461,4,2018-05-31,2018-00-00,credit_card,10
8a9424899aac432d80d8e580932b5ee9,5,2018-07-25,2018-00-00,credit_card,1
8a9424899aac432d80d8e580932b5ee9,5,2018-07-25,2018-00-00,voucher,1
603d76b730c972775ccf2a910bf23490,5,2018-04-03,2018-00-00,credit_card,3
71960e6af960919256a958a3633e1040,5,2018-04-18,2018-00-00,credit_card,8
36782087b0d4f8cd6daa340872006259,5,2018-02-20,2018-00-00,voucher,1
36782087b0d4f8cd6daa340872006259,5,2018-02-20,2018-00-00,credit_card,1
b324f4270850cbba23533b9a9d3434a9,4,2018-04-04,2018-00-00,voucher,1
a3ba7fa5266d62188949da3d6ccc3884,5,2018-02-27,2018-00-00,credit_card,8
b3dca2e199b13ddabab4ed77d79ee9f6,5,2018-06-03,2018-00-00,credit_card,1
25362fbf6aac4b01a28dee1e076acc26,5,2018-08-17,2018-00-00,credit_card,3
801524a8fbd37484e8d8c23448f113b5,3,2018-07-14,2018-00-00,credit_card,8
5f8772295e1adb4e4832c988d6b631b6,5,2018-04-10,2018-00-00,credit_card,10
366df9c0b0d5d46f8afc476dc4ca7671,4,2018-01-31,2018-00-00,boleto,1
